entity,year,schizophrenia,bipolar_disorder,eating_disorder,anxiety_disorder,substance_use_disorder,depression,alcohol_use_disorder
Ethiopia,2008,0.15775,0.624215,0.086475,3.688472,0.479915,3.899542,1.77121
Fiji,2008,0.236118,0.449775,0.13897,3.256059,0.740777,3.172747,1.077975
Finland,2008,0.269138,1.004066,0.590755,3.734727,0.87884,5.01573,2.847781
France,2008,0.25809,0.964781,0.554064,6.706933,1.206761,4.305071,1.483707
Gabon,2008,0.181061,0.637118,0.220502,3.283931,0.579485,4.099767,1.500762
Gambia,2008,0.169413,0.644424,0.112417,2.902651,0.478114,4.156638,0.93657
Georgia,2008,0.192092,0.706806,0.146511,2.599191,0.45525,2.781577,1.978996
Germany,2008,0.2518,0.779304,0.509359,6.559577,0.893683,3.929604,2.037797
Ghana,2008,0.171028,0.637595,0.12871,2.904698,0.591365,3.381607,0.989201
Greece,2008,0.253982,0.945705,0.573939,5.794572,0.509554,4.355115,1.116942
Greenland,2008,0.317957,0.592135,0.513867,5.681064,1.843566,6.453793,3.466157
Grenada,2008,0.19824,0.892052,0.273507,4.545299,0.771926,2.794045,1.689027
Guam,2008,0.261275,0.479181,0.248284,3.323228,0.796089,3.498779,1.238505
Guatemala,2008,0.191056,0.738682,0.220678,2.886498,0.686783,3.406449,2.744363
Guinea,2008,0.164884,0.627684,0.106667,2.892437,0.43292,3.535645,0.931447
Guinea-Bissau,2008,0.161975,0.612462,0.107487,2.907092,0.464535,3.643305,0.983762
Guyana,2008,0.183344,0.840331,0.211234,4.501454,0.712516,4.219658,2.041377
Haiti,2008,0.171379,0.798524,0.157413,4.490458,0.613601,2.963383,1.662709
High SDI,2008,0.293066,0.752874,0.485304,5.331107,1.662779,3.869703,1.573604
High-income,2008,0.288835,0.793741,0.523398,5.683684,1.717749,4.050204,1.573433
High-income Asia Pacific,2008,0.286935,0.65393,0.435821,3.605179,0.873369,3.044433,1.02003
